family_id	mode_id	marker_id	marker_label	is_core	alias	support_dois
arsenic	arsenic_detox_redox	aioA	Arsenite oxidase subunit A	1	aioa	
arsenic	arsenic_detox_redox	aioB	Arsenite oxidase subunit B	0	aiob	
arsenic	arsenic_detox_redox	arrA	Respiratory arsenate reductase	1	arra	
arsenic	arsenic_detox_redox	arsA	Arsenite transport ATPase	0	arsa	
arsenic	arsenic_detox_redox	arsB	Arsenite efflux pump	1	arsb	
arsenic	arsenic_detox_redox	arsC	Arsenate reductase	1	arsc	
arsenic	arsenic_detox_redox	arsenic	Arsenic metabolism	1	arsenate reductase	
carbon_c1	carbon_fixation	acl	ATP citrate lyase	1	acla	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	acl	ATP citrate lyase	1	aclb	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	acl	ATP citrate lyase	1	atp citrate lyase	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	cdh	CO dehydrogenase/ACS	1	acetyl-coa synthase	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	cdh	CO dehydrogenase/ACS	1	carbon monoxide dehydrogenase	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	prk	Phosphoribulokinase	1	phosphoribulokinase	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	prk	Phosphoribulokinase	1	prk	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	rbcL	RuBisCO large subunit	1	rbcl	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	rbcL	RuBisCO large subunit	1	rubisco large subunit	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	rbcS	RuBisCO small subunit	0	rbcs	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	carbon_fixation	rbcS	RuBisCO small subunit	0	rubisco small subunit	10.1146/annurev-micro-090110-102801;10.1146/annurev-marine-120709-142712
carbon_c1	co_formate	cutM	Carbon monoxide dehydrogenase	1	carbon monoxide dehydrogenase	
carbon_c1	co_formate	cutM	Carbon monoxide dehydrogenase	1	co dehydrogenase	
carbon_c1	co_formate	fdh	Formate dehydrogenase	1	formate dehydrogenase	
carbon_c1	methylotrophy_methane	mdh	Methylamine dehydrogenase	0	methylamine dehydrogenase	
carbon_c1	methylotrophy_methane	mmoX	Soluble methane monooxygenase	1	mmox	
carbon_c1	methylotrophy_methane	mxaF	Methanol dehydrogenase large subunit	1	methanol dehydrogenase	
carbon_c1	methylotrophy_methane	mxaF	Methanol dehydrogenase large subunit	1	mxaf	
carbon_c1	methylotrophy_methane	pmoA	Particulate methane monooxygenase A	1	methane monooxygenase	
carbon_c1	methylotrophy_methane	pmoA	Particulate methane monooxygenase A	1	pmoa	
carbon_c1	methylotrophy_methane	xoxF	Lanthanide methanol dehydrogenase	0	xoxf	
carbon_c1	methanogenesis	mcrA	Methyl-coenzyme M reductase alpha subunit	1	mcra	10.1016/S0076-6879(05)97026-2;10.1046/j.1462-2920.2001.00179.x
carbon_c1	methanogenesis	mcrA	Methyl-coenzyme M reductase alpha subunit	1	methyl coenzyme m reductase	10.1016/S0076-6879(05)97026-2;10.1046/j.1462-2920.2001.00179.x
hydrogen	hydrogen_metabolism	hoxH	Bidirectional hydrogenase large subunit	1	hoxh	
hydrogen	hydrogen_metabolism	hyaA	[NiFe] hydrogenase subunit A	1	hyaa	
hydrogen	hydrogen_metabolism	hybA	[NiFe] hydrogenase subunit A	1	hyba	
hydrogen	hydrogen_metabolism	hydA	[FeFe] hydrogenase catalytic subunit	1	hyda	
hydrogen	hydrogen_metabolism	hydB	[FeFe] hydrogenase subunit B	0	hydb	
hydrogen	hydrogen_metabolism	hydrogenase	Hydrogenase	1	hydrogenase	
iron	iron_acquisition	fecA	Ferric citrate outer membrane receptor	1	feca	
iron	iron_acquisition	heme	Heme uptake	1	heme uptake	
iron	iron_acquisition	siderophore	Siderophore transport/synthesis	1	siderophore	
iron	iron_acquisition	tonB	TonB energy transducer	1	tonb	
iron	iron_redox	cyc2	Outer-membrane cytochrome Cyc2	1	cyc2	
iron	iron_redox	ferric_reductase	Ferric reductase	1	ferric reductase	
iron	iron_redox	mtrA	Decaheme cytochrome MtrA	1	mtra	
iron	iron_redox	mtrB	Outer membrane porin MtrB	1	mtrb	
iron	iron_redox	mtrC	Outer membrane cytochrome MtrC	1	mtrc	
nitrogen	anammox	hzo	Hydrazine oxidoreductase	1	hydrazine oxidoreductase	10.1371/journal.pone.0078275
nitrogen	anammox	hzo	Hydrazine oxidoreductase	1	hzo	10.1371/journal.pone.0078275
nitrogen	anammox	hzsA	Hydrazine synthase subunit A	1	hydrazine synthase subunit a	10.1128/AEM.07113-11
nitrogen	anammox	hzsA	Hydrazine synthase subunit A	1	hzsa	10.1128/AEM.07113-11
nitrogen	anammox	hzsB	Hydrazine synthase subunit B	0	hydrazine synthase subunit b	10.1128/AEM.07113-11
nitrogen	anammox	hzsB	Hydrazine synthase subunit B	0	hzsb	10.1128/AEM.07113-11
nitrogen	anammox	hzsC	Hydrazine synthase subunit C	0	hydrazine synthase subunit c	10.1128/AEM.07113-11
nitrogen	anammox	hzsC	Hydrazine synthase subunit C	0	hzsc	10.1128/AEM.07113-11
nitrogen	denitrification	nor	Nitric oxide reductase	0	nitric oxide reductase	
nitrogen	denitrification	norB	Nitric oxide reductase subunit B	1	norb	10.1128/AEM.69.6.3476-3483.2003;10.1111/1574-6941.12346
nitrogen	denitrification	norC	Nitric oxide reductase subunit C	0	norc	10.3389/fmars.2019.00739
nitrogen	denitrification	nos	Nitrous oxide reductase	0	nitrous oxide reductase	
nitrogen	denitrification	nosZ	Nitrous oxide reductase	1	nosz	10.1128/AEM.65.4.1681-1687.1999;10.1111/j.1574-6968.1998.tb12979.x;10.1111/1574-6941.12346
nitrogen	dnra	dnra	DNRA pathway	0	dissimilatory nitrate reduction to ammonium	
nitrogen	dnra	nirB	Nitrite reductase (NADH) large subunit	0	nirb	10.3389/fmars.2019.00739
nitrogen	dnra	nrfA	Cytochrome c nitrite reductase	1	nrfa	10.1016/j.mimet.2019.03.020;10.1128/AEM.02894-06
nitrogen	nitrate_reduction	napA	Periplasmic nitrate reductase	1	napa	10.1128/AEM.02894-06;10.3389/fmars.2019.00739
nitrogen	nitrate_reduction	nar	Membrane nitrate reductase	0	nitrate reductase	
nitrogen	nitrate_reduction	narG	Membrane nitrate reductase alpha	1	narg	10.1128/AEM.02894-06;10.3389/fmars.2019.00739
nitrogen	nitrate_reduction	narH	Membrane nitrate reductase beta	0	narh	10.3389/fmars.2019.00739
nitrogen	nitrification	amoA	Ammonia monooxygenase subunit A	1	amoa	10.1128/AEM.63.12.4704-4712.1997;10.3389/fmars.2019.00739
nitrogen	nitrification	amoB	Ammonia monooxygenase subunit B	1	amob	10.3389/fmars.2019.00739
nitrogen	nitrification	amoC	Ammonia monooxygenase subunit C	1	amoc	10.3389/fmars.2019.00739
nitrogen	nitrification	hao	Hydroxylamine oxidoreductase	1	hao	10.3389/fmars.2019.00739
nitrogen	nitrification	nxrA	Nitrite oxidoreductase subunit A	1	nxra	10.1111/j.1574-6941.2007.00404.x;10.1007/s00248-016-0897-3
nitrogen	nitrification	nxrB	Nitrite oxidoreductase subunit B	1	nxrb	10.1111/1462-2920.12300
nitrogen	nitrite_reduction	nir	Nitrite reductase	0	nitrite reductase	
nitrogen	nitrite_reduction	nirB	Nitrite reductase (NADH) large subunit	0	nirb	10.3389/fmars.2019.00739
nitrogen	nitrite_reduction	nirK	Copper nitrite reductase	1	nirk	10.1128/AEM.66.5.2096-2104.2000;10.3389/fmars.2019.00739
nitrogen	nitrite_reduction	nirS	Cytochrome cd1 nitrite reductase	1	nirs	10.1128/AEM.66.5.2096-2104.2000;10.3389/fmars.2019.00739
nitrogen	nitrite_reduction	nrfA	Cytochrome c nitrite reductase	0	nrfa	10.1016/j.mimet.2019.03.020;10.1128/AEM.02894-06
nitrogen	nitrogen_fixation	nifD	Nitrogenase molybdenum-iron protein alpha	1	nifd	10.3389/fmars.2019.00739
nitrogen	nitrogen_fixation	nifH	Nitrogenase iron protein	1	nifh	10.3389/fmars.2019.00739
nitrogen	nitrogen_fixation	nifHDK	Nitrogenase complex	1	nitrogenase	10.3389/fmars.2019.00739
nitrogen	nitrogen_fixation	nifK	Nitrogenase molybdenum-iron protein beta	1	nifk	10.3389/fmars.2019.00739
nitrogen	urea_cyanate	cyanase	Cyanase	1	cyanase	10.3389/fmars.2019.00739
nitrogen	urea_cyanate	cynS	Cyanase	1	cyns	10.3389/fmars.2019.00739
nitrogen	urea_cyanate	ureC	Urease alpha subunit	1	urec	10.3389/fmars.2019.00739
nitrogen	urea_cyanate	urease	Urease	1	urease	
phosphorus	phosphate_scavenging	phoA	Alkaline phosphatase	1	phoa	
phosphorus	phosphate_scavenging	phoD	Alkaline phosphatase D	1	phod	
phosphorus	phosphate_scavenging	phoX	Alkaline phosphatase X	1	phox	
phosphorus	phosphate_scavenging	phosphate	Phosphate uptake/scavenging	1	phosphate transport	
phosphorus	phosphate_scavenging	pstS	Phosphate transport substrate-binding protein	1	psts	
phosphorus	phosphonate_phosphite	phnD	Phosphonate transport substrate-binding protein	1	phnd	
phosphorus	phosphonate_phosphite	phnJ	C-P lyase PhnJ	1	phnj	
phosphorus	phosphonate_phosphite	phosphonate	Phosphonate metabolism	1	phosphonate	
phosphorus	phosphonate_phosphite	ptxD	Phosphite dehydrogenase	1	ptxd	
sulfur	sulfate_reduction	aprA	Adenylylsulfate reductase alpha	1	apra	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	aprB	Adenylylsulfate reductase beta	1	aprb	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	dsr	Dissimilatory sulfite reductase	1	dissimilatory sulfite reductase	
sulfur	sulfate_reduction	dsrA	Dissimilatory sulfite reductase alpha	1	dsra	10.1038/ismej.2014.208;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	dsrB	Dissimilatory sulfite reductase beta	1	dsrb	10.1038/ismej.2014.208;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	sat	Sulfate adenylyltransferase	1	sat	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	sat	Sulfate adenylyltransferase	1	sulfate adenylyltransferase	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfur_oxidation	soeA	Sulfite dehydrogenase alpha	0	sulfite dehydrogenase	10.1111/j.1574-6941.2010.00919.x
